timestamp,area_pixeles,temp_min,temp_max,temp_avg
1772662500.4266052,947,65.0,193.0,144.53
1772662500.4286063,2015,24.0,178.0,117.88
1772662500.429605,881,51.0,155.0,102.13
1772662500.4316044,3085,23.0,175.0,119.58
1772662500.4326062,2008,29.0,127.0,90.38
1772662500.8207476,1300,0.0,155.0,74.65
1772662500.9209287,1349,29.0,166.0,98.87
1772662501.014995,1601,15.0,172.0,114.23
1772662501.128276,1047,59.0,180.0,128.16
1772662501.1305828,866,51.0,171.0,122.3
1772662501.1325884,1603,12.0,154.0,76.6
1772662501.133589,882,0.0,97.0,56.15
1772662501.4147964,824,40.0,165.0,107.21
1772662501.4157963,1223,28.0,166.0,111.6
1772662501.4180293,1410,11.0,151.0,67.93
1772662501.9281335,2070,37.0,174.0,130.84
1772662501.9291334,884,41.0,170.0,117.52
1772662501.9311342,1638,9.0,151.0,72.31
1772662501.9321337,1830,14.0,109.0,61.19
1772662502.023325,3750,66.0,201.0,153.24
1772662502.0244496,1128,61.0,107.0,82.49
1772662502.0259576,2815,23.0,180.0,90.82
1772662502.0279622,15955,18.0,158.0,85.46
1772662502.0300484,2703,5.0,175.0,105.31
1772662502.0323172,8338,31.0,178.0,102.76
1772662502.1253645,1664,61.0,185.0,116.45
1772662502.1268802,1592,69.0,181.0,115.91
1772662502.1288831,1402,27.0,115.0,78.94
1772662502.1298833,847,22.0,75.0,48.8
1772662502.1318843,1164,88.0,184.0,147.85
1772662502.1328833,1247,45.0,105.0,75.21
1772662502.133882,1114,80.0,132.0,106.94
1772662502.136048,1278,84.0,192.0,152.88
1772662502.1370478,1558,99.0,183.0,139.92
1772662502.1390488,13909,8.0,199.0,88.94
1772662502.1424246,22739,11.0,179.0,93.13
1772662502.234334,2880,74.0,201.0,136.0
1772662502.2363346,1003,56.0,89.0,71.74
1772662502.237622,957,51.0,149.0,106.5
1772662502.2399714,1084,92.0,170.0,142.47
1772662502.2420075,995,50.0,118.0,85.23
1772662502.243008,1240,71.0,147.0,109.14
1772662502.2455976,1013,97.0,170.0,131.4
1772662502.2480645,5986,37.0,151.0,92.06
1772662502.2490916,2165,42.0,153.0,93.74
1772662502.2511566,3406,28.0,167.0,94.71
1772662502.3347213,5058,46.0,204.0,144.56
1772662502.3377213,1130,54.0,88.0,69.24
1772662502.3392308,800,36.0,131.0,88.74
1772662502.3412309,831,28.0,144.0,91.15
1772662502.342232,836,46.0,117.0,84.41
1772662502.344372,1070,98.0,198.0,143.24
1772662502.34552,831,29.0,180.0,105.17
1772662502.3476512,3279,38.0,148.0,91.74
1772662502.3486698,1256,47.0,179.0,126.12
1772662502.350959,1418,94.0,185.0,151.34
1772662502.3529644,5834,28.0,160.0,97.26
1772662502.353967,3798,35.0,184.0,132.95
1772662502.3572123,15755,11.0,179.0,103.21
1772662502.4258049,1443,23.0,119.0,67.41
1772662502.4270039,2652,107.0,176.0,149.66
1772662502.4291267,2089,99.0,189.0,154.0
1772662502.4301317,1191,48.0,119.0,81.86
1772662502.4323673,13782,20.0,164.0,92.64
1772662502.4336483,5881,2.0,195.0,94.96
1772662502.43678,38874,2.0,178.0,107.69
1772662502.5193415,1009,14.0,126.0,53.43
1772662502.520351,1382,7.0,120.0,57.21
1772662502.5215108,2888,7.0,92.0,46.28
1772662502.6330101,1331,90.0,200.0,160.38
1772662502.6340199,1289,50.0,171.0,117.65
1772662502.6353288,881,85.0,200.0,143.9
1772662502.6363392,901,24.0,139.0,81.36
1772662502.637348,881,34.0,199.0,122.3
1772662502.6386325,1808,36.0,152.0,95.24
1772662502.6407568,4321,26.0,183.0,130.46
1772662502.642768,15287,13.0,185.0,115.54
1772662502.7298446,2735,45.0,182.0,103.14
1772662502.7318451,2651,43.0,138.0,88.12
1772662502.7338464,2705,46.0,151.0,91.87
1772662502.7356355,1998,28.0,176.0,111.16
1772662502.737637,1360,36.0,121.0,81.27
1772662502.7396364,831,55.0,148.0,119.95
1772662502.7416372,5529,7.0,160.0,89.48
1772662502.743637,1642,10.0,155.0,76.06
1772662502.7446375,2081,14.0,112.0,60.83
1772662502.8227205,1184,94.0,193.0,162.14
1772662502.8237226,1162,35.0,165.0,86.27
1772662502.8263018,1751,28.0,179.0,118.84
1772662502.827301,1003,21.0,155.0,92.09
1772662502.829302,1700,25.0,166.0,105.42
1772662502.830301,1440,29.0,113.0,74.15
1772662502.9201093,1292,54.0,154.0,105.84
1772662502.9211166,1189,17.0,128.0,63.28
1772662503.0309043,1145,49.0,165.0,105.96
1772662503.0319035,842,34.0,180.0,107.85
1772662503.0343502,1149,21.0,120.0,52.53
1772662503.1278226,1379,79.0,201.0,164.55
1772662503.1288435,1769,59.0,193.0,146.69
1772662503.1298532,1654,13.0,158.0,91.32
1772662503.1308658,1229,43.0,185.0,123.43
1772662503.1329346,1740,45.0,162.0,99.26
1772662503.1339467,1670,38.0,148.0,90.19
1772662503.1349592,2660,21.0,173.0,117.33
1772662503.136998,9673,0.0,182.0,109.7
1772662503.2223952,1382,49.0,154.0,107.75
1772662503.2236376,1259,25.0,176.0,110.64
1772662503.2251472,1258,13.0,150.0,76.68
1772662503.2274733,1459,31.0,166.0,109.44
1772662503.2284932,1214,29.0,121.0,84.55
1772662503.321428,1015,42.0,124.0,87.64
1772662503.3236222,2566,36.0,158.0,102.78
1772662503.3256345,1559,24.0,186.0,100.68
1772662503.3266566,2338,8.0,164.0,69.48
1772662503.3278997,803,2.0,149.0,79.27
1772662503.3299108,915,27.0,106.0,59.18
1772662503.4340124,840,35.0,187.0,114.43
1772662503.436057,1855,48.0,163.0,100.17
1772662503.438112,1309,36.0,148.0,83.12
1772662503.4401908,2095,0.0,172.0,83.83
1772662503.442574,1345,22.0,168.0,107.62
1772662503.5319092,839,69.0,180.0,124.35
1772662503.5339162,1133,50.0,146.0,92.96
1772662503.5359168,962,18.0,136.0,68.04
1772662503.538235,1405,14.0,151.0,81.17
1772662503.6227682,1343,15.0,151.0,67.33
1772662503.8343477,1425,5.0,154.0,78.71
1772662504.6331213,903,65.0,194.0,142.76
1772662504.6344442,1064,28.0,171.0,116.77
1772662504.6364799,1913,10.0,170.0,108.56
1772662504.9441578,1231,57.0,191.0,137.3
1772662504.9461658,990,41.0,200.0,148.34
1772662504.9493525,1110,9.0,172.0,118.04
1772662504.9493525,877,45.0,150.0,95.88
1772662504.9524915,1929,28.0,166.0,104.07
1772662504.9524915,1604,22.0,128.0,86.02
1772662505.0359025,1139,9.0,150.0,76.04
1772662505.1306117,1182,65.0,198.0,142.61
1772662505.1326182,917,72.0,199.0,150.05
1772662505.1346262,1536,32.0,170.0,106.58
1772662505.1366317,920,33.0,119.0,79.38
1772662506.1397455,879,27.0,159.0,86.96
1772662506.230964,1827,47.0,187.0,120.14
1772662506.2373888,846,68.0,178.0,118.96
